date,reform,punitive,reform_velocity,punitive_velocity,cultural_velocity,cultural_velocity_smooth,year,month
2022-05-15,12.333333333333334,13.333333333333334,0.0,5.2631578947368585,-5.2631578947368585,-8.406794187087954,2022,5
2022-05-22,33.666666666666664,12.333333333333334,172.97297297297294,-7.499999999999996,180.47297297297294,55.00237079184446,2022,5
2022-05-29,12.666666666666666,10.666666666666666,-62.37623762376238,-13.51351351351352,-48.86272411024886,42.11569698932907,2022,5
2022-06-05,12.333333333333334,10.0,-2.631578947368407,-6.25,3.618421052631593,45.07622330511855,2022,6
2022-06-12,10.0,9.666666666666666,-18.918918918918926,-3.3333333333333437,-15.585585585585584,-20.276629547734288,2022,6
2022-06-19,10.0,9.666666666666666,0.0,0.0,0.0,-3.9890548443180016,2022,6
2022-06-26,9.666666666666666,10.333333333333334,-3.3333333333333437,6.896551724137945,-10.22988505747129,-8.605156881018962,2022,6
2022-07-03,9.0,8.333333333333334,-6.896551724137923,-19.354838709677413,12.458286985539491,0.7428006426893958,2022,7
2022-07-10,8.333333333333334,9.333333333333334,-7.407407407407396,11.99999999999999,-19.407407407407383,-5.726335159779732,2022,7
2022-07-17,9.666666666666666,17.0,15.999999999999993,82.14285714285714,-66.14285714285714,-24.363992521575014,2022,7
2022-07-24,9.666666666666666,11.666666666666666,0.0,-31.372549019607842,31.372549019607842,-18.059238510218893,2022,7
2022-07-31,8.666666666666666,10.333333333333334,-10.344827586206895,-11.428571428571422,1.0837438423645267,-11.228854760294928,2022,7
2022-08-07,10.666666666666666,10.333333333333334,23.076923076923084,0.0,23.076923076923084,18.51107197963181,2022,8
2022-08-14,10.333333333333334,10.0,-3.124999999999989,-3.2258064516129115,0.10080645161292257,8.087157790300173,2022,8
2022-08-21,9.666666666666666,13.0,-6.451612903225823,30.000000000000004,-36.45161290322583,-4.424627791563279,2022,8
2022-08-28,12.0,10.666666666666666,24.13793103448276,-17.948717948717952,42.08664898320072,1.911947510529264,2022,8
2022-09-04,13.0,10.666666666666666,8.333333333333325,0.0,8.333333333333325,4.6561231377693995,2022,9
2022-09-11,14.666666666666666,13.333333333333334,12.82051282051282,25.00000000000002,-12.179487179487202,12.746831712348943,2022,9
2022-09-18,14.0,23.333333333333332,-4.545454545454541,74.99999999999997,-79.54545454545452,-27.797202797202804,2022,9
2022-09-25,15.0,19.666666666666668,7.14285714285714,-15.714285714285703,22.857142857142843,-22.955932955932965,2022,9
2022-10-02,15.333333333333334,16.0,2.2222222222222365,-18.644067796610177,20.866290018832412,-11.940673889826428,2022,10
2022-10-09,15.0,14.666666666666666,-2.1739130434782594,-8.333333333333337,6.159420289855078,16.627617721943437,2022,10
2022-10-16,14.333333333333334,13.333333333333334,-4.444444444444439,-9.090909090909083,4.6464646464646435,10.55739165171737,2022,10
2022-10-23,19.0,13.666666666666666,32.558139534883715,2.499999999999991,30.058139534883722,13.621341490401141,2022,10
2022-10-30,19.333333333333332,12.666666666666666,1.754385964912264,-7.317073170731703,9.071459135643966,14.592021105664102,2022,10
2022-11-06,16.333333333333332,12.0,-15.517241379310342,-5.263157894736836,-10.254083484573506,9.625171728651386,2022,11
2022-11-13,10.333333333333334,13.666666666666666,-36.73469387755102,13.888888888888884,-50.6235827664399,-17.268735705123152,2022,11
2022-11-20,8.666666666666666,11.0,-16.129032258064523,-19.512195121951216,3.3831628638866924,-19.16483446237558,2022,11
2022-11-27,10.333333333333334,10.333333333333334,19.23076923076925,-6.060606060606055,25.291375291375306,-7.316348203725977,2022,11
2022-12-04,10.666666666666666,14.0,3.2258064516129004,35.48387096774193,-32.258064516129025,-1.1945087869556825,2022,12
2022-12-11,9.333333333333334,12.333333333333334,-12.49999999999999,-11.904761904761896,-0.5952380952380931,-2.5206424399972778,2022,12
2022-12-18,4.0,10.333333333333334,-57.14285714285714,-16.216216216216218,-40.92664092664092,-24.593314512669355,2022,12
